Date,GSCI,SP,Ratio
13/01/00,197.15,1449.68,0.135997806
14/01/00,202.08,1465.15,0.13792383
18/01/00,205.86,1455.14,0.141471611
19/01/00,206.89,1455.90,0.142103647
20/01/00,208.31,1445.57,0.144102534
21/01/00,208.46,1441.36,0.144630141
24/01/00,206.75,1401.53,0.147514502
25/01/00,209.00,1410.03,0.14822713
26/01/00,206.59,1404.09,0.147137577
27/01/00,205.00,1398.56,0.146582056
28/01/00,204.44,1360.16,0.150302611
31/01/00,206.37,1394.46,0.147989186
01/02/00,209.34,1409.28,0.14854117
02/02/00,206.90,1409.12,0.146826814
03/02/00,208.72,1424.97,0.146470452
04/02/00,212.21,1424.37,0.148986148
07/02/00,208.98,1424.24,0.14673152
08/02/00,205.60,1441.72,0.14261084
09/02/00,208.30,1411.70,0.147549479
10/02/00,211.08,1416.83,0.148981035
11/02/00,210.64,1387.12,0.151857662
14/02/00,212.78,1389.94,0.153087399
15/02/00,212.44,1402.05,0.151520773
16/02/00,213.03,1387.67,0.153513227
17/02/00,210.68,1388.26,0.15175882
18/02/00,209.76,1346.09,0.155827916
22/02/00,210.57,1352.17,0.15572539
23/02/00,211.44,1360.69,0.155389104
24/02/00,213.57,1353.43,0.157797152
25/02/00,214.63,1333.36,0.160967331
28/02/00,214.23,1348.05,0.15891866
29/02/00,216.01,1366.42,0.158083825
01/03/00,222.51,1379.19,0.161337379
02/03/00,222.17,1381.76,0.16078827
03/03/00,221.94,1409.17,0.157495476
06/03/00,224.61,1391.28,0.161443132
07/03/00,230.40,1355.62,0.169962453
08/03/00,217.79,1366.70,0.159358235
09/03/00,219.02,1401.69,0.156256448
10/03/00,216.83,1395.07,0.155426681
13/03/00,216.87,1383.62,0.156737399
14/03/00,216.00,1359.15,0.158926241
15/03/00,213.17,1392.15,0.153126315
16/03/00,214.01,1458.47,0.146737814
17/03/00,213.67,1464.47,0.145904798
20/03/00,207.03,1456.63,0.142127925
21/03/00,208.22,1493.87,0.139384284
22/03/00,207.42,1500.64,0.138218427
23/03/00,206.99,1527.35,0.13552447
24/03/00,209.33,1527.46,0.137042999
27/03/00,209.15,1523.86,0.137250207
28/03/00,207.42,1507.73,0.137573173
29/03/00,203.92,1508.52,0.13518011
30/03/00,205.02,1487.92,0.137789464
31/03/00,206.88,1498.58,0.138051689
01/05/00,205.46,1468.25,0.139932573
02/05/00,210.23,1446.29,0.145356533
03/05/00,208.61,1415.10,0.147415448
04/05/00,209.92,1409.57,0.148925062
05/05/00,209.60,1432.63,0.146306583
08/05/00,212.69,1424.17,0.149340037
09/05/00,215.13,1412.14,0.15234651
10/05/00,215.23,1383.05,0.155617946
11/05/00,219.03,1407.81,0.155582714
12/05/00,220.66,1420.96,0.155288467
15/05/00,221.52,1452.36,0.15252279
16/05/00,222.13,1466.04,0.15151708
17/05/00,222.44,1447.80,0.153641318
18/05/00,225.58,1437.21,0.156959178
19/05/00,224.78,1406.95,0.159767298
22/05/00,220.74,1400.72,0.157593595
23/05/00,221.15,1373.86,0.160969604
24/05/00,226.46,1399.05,0.161865909
25/05/00,229.02,1381.52,0.165774292
26/05/00,227.72,1378.02,0.165252609
30/05/00,227.76,1422.45,0.160117262
31/05/00,223.20,1420.60,0.157118893
01/06/00,226.20,1448.81,0.156125096
02/06/00,227.25,1477.26,0.153830402
05/06/00,226.18,1467.63,0.154109006
06/06/00,226.15,1457.84,0.155125803
07/06/00,224.20,1471.36,0.152378616
08/06/00,224.36,1461.67,0.153492922
09/06/00,225.71,1456.95,0.154921102
12/06/00,229.30,1446.00,0.158572545
13/06/00,231.28,1469.44,0.157394518
14/06/00,230.79,1470.54,0.156941328
15/06/00,231.04,1478.73,0.156239746
16/06/00,227.39,1464.46,0.155271226
19/06/00,223.90,1486.00,0.15067537
20/06/00,227.94,1475.95,0.154438633
21/06/00,231.91,1479.13,0.156790884
22/06/00,236.21,1452.18,0.162656076
23/06/00,235.59,1441.48,0.163434456
26/06/00,233.74,1455.31,0.160608874
27/06/00,236.02,1450.55,0.162709317
28/06/00,234.34,1454.82,0.16107979
29/06/00,237.83,1442.39,0.164887929
30/06/00,235.71,1454.60,0.162047092
03/07/00,235.40,1469.54,0.160187406
05/07/00,226.71,1446.23,0.156756187
06/07/00,223.82,1456.67,0.153653264
07/07/00,225.70,1478.90,0.152611738
10/07/00,223.37,1475.62,0.151370814
11/07/00,223.69,1480.88,0.151053765
12/07/00,223.99,1492.92,0.150034831
13/07/00,227.08,1495.84,0.151805741
14/07/00,225.55,1509.98,0.149374892
17/07/00,222.79,1510.49,0.147495647
18/07/00,226.93,1493.74,0.151921218
19/07/00,224.74,1481.96,0.151649572
20/07/00,222.84,1495.57,0.149003323
21/07/00,218.40,1480.19,0.147549706
24/07/00,214.73,1464.29,0.146647659
25/07/00,214.02,1474.47,0.145152902
26/07/00,214.40,1452.42,0.147614671
27/07/00,215.77,1449.62,0.148843283
28/07/00,216.55,1419.89,0.152508786
31/07/00,213.33,1430.83,0.149093044
01/08/00,215.32,1438.10,0.149724776
02/08/00,218.50,1438.70,0.151871273
03/08/00,219.71,1452.56,0.151254199
04/08/00,224.18,1462.93,0.153242671
07/08/00,220.23,1479.32,0.148871373
08/08/00,221.51,1482.80,0.149388926
09/08/00,225.71,1472.87,0.153242241
10/08/00,193.10,1460.25,0.132238178
11/08/00,228.88,1471.84,0.1555078
14/08/00,229.93,1491.56,0.154151425
15/08/00,229.03,1484.43,0.154285146
16/08/00,230.22,1479.85,0.155568875
17/08/00,231.93,1496.07,0.155026904
18/08/00,233.41,1491.72,0.156468439
21/08/00,236.81,1499.48,0.157928749
22/08/00,232.73,1498.13,0.15534493
23/08/00,237.03,1505.97,0.157396163
24/08/00,235.74,1508.31,0.156295125
25/08/00,237.81,1506.45,0.157860799
28/08/00,240.99,1514.09,0.159165703
29/08/00,241.81,1509.84,0.160155646
30/08/00,244.71,1502.59,0.162861459
31/08/00,244.40,1517.68,0.161034474
01/09/00,245.31,1520.77,0.161306378
05/09/00,248.39,1507.08,0.164815206
06/09/00,252.61,1492.25,0.16928457
07/09/00,255.00,1502.51,0.169715942
08/09/00,247.50,1494.50,0.165606892
11/09/00,253.85,1489.26,0.170454387
12/09/00,250.12,1481.99,0.168773474
13/09/00,246.51,1484.91,0.166007367
14/09/00,247.38,1480.87,0.16705018
15/09/00,252.69,1465.81,0.172388918
18/09/00,255.91,1444.51,0.177162775
19/09/00,253.35,1459.90,0.173542092
20/09/00,253.53,1451.34,0.17469008
21/09/00,249.56,1449.05,0.172221524
22/09/00,244.04,1448.72,0.168449321
25/09/00,241.06,1439.03,0.167513742
26/09/00,241.03,1427.21,0.168883346
27/09/00,241.69,1426.57,0.169419937
28/09/00,235.03,1458.29,0.161166778
29/09/00,237.48,1436.51,0.165319629
02/10/00,243.54,1436.23,0.169565877
03/10/00,243.45,1426.46,0.170668298
04/10/00,240.83,1434.32,0.167907789
05/10/00,236.71,1436.28,0.164805748
06/10/00,236.85,1408.99,0.168096154
09/10/00,241.46,1402.03,0.172224774
10/10/00,247.87,1387.02,0.178703263
11/10/00,250.66,1364.59,0.183690779
12/10/00,261.27,1329.78,0.196475282
13/10/00,253.16,1374.17,0.184228807
16/10/00,245.46,1374.62,0.178566076
17/10/00,245.16,1349.97,0.181603073
18/10/00,244.03,1342.13,0.181823445
19/10/00,240.17,1388.76,0.172939097
20/10/00,243.54,1396.93,0.174342952
23/10/00,246.77,1395.78,0.176796272
24/10/00,244.54,1398.13,0.174901762
25/10/00,241.16,1364.90,0.176688915
26/10/00,242.35,1364.44,0.17761873
27/10/00,237.69,1379.58,0.17229019
30/10/00,237.26,1398.66,0.169630289
31/10/00,236.71,1429.40,0.16560368
01/11/00,239.39,1421.22,0.168442957
02/11/00,237.70,1428.32,0.16642083
03/11/00,239.54,1426.69,0.167899333
06/11/00,239.95,1432.19,0.167541178
07/11/00,243.22,1431.87,0.169864862
08/11/00,244.14,1409.28,0.173238107
09/11/00,247.45,1400.14,0.176729398
10/11/00,247.19,1365.98,0.180957994
13/11/00,249.32,1351.26,0.184511271
14/11/00,252.96,1382.95,0.182910011
15/11/00,258.08,1389.81,0.185690922
16/11/00,254.23,1372.32,0.185257447
17/11/00,257.99,1367.72,0.18862757
20/11/00,260.27,1342.62,0.193850606
21/11/00,261.00,1347.35,0.193711285
22/11/00,262.65,1322.36,0.198621934
24/11/00,262.91,1341.77,0.195941704
27/11/00,261.94,1348.97,0.194174815
28/11/00,255.05,1336.09,0.190890284
29/11/00,256.30,1341.91,0.19099813
30/11/00,256.38,1314.95,0.194976235
01/12/00,249.93,1315.23,0.190031249
04/12/00,252.39,1324.97,0.190485671
05/12/00,245.98,1376.54,0.178694626
06/12/00,253.48,1351.46,0.187563524
07/12/00,249.87,1343.55,0.185979309
08/12/00,246.66,1369.89,0.180059056
11/12/00,254.37,1380.20,0.184302782
12/12/00,246.91,1371.18,0.180072419
13/12/00,239.66,1359.99,0.176223134
14/12/00,234.48,1340.93,0.174866622
15/12/00,241.81,1312.15,0.184282666
18/12/00,245.33,1322.74,0.185468573
19/12/00,244.84,1305.60,0.187527803
20/12/00,236.99,1264.74,0.187381122
21/12/00,239.66,1274.86,0.187987387
22/12/00,238.81,1305.97,0.182861321
26/12/00,241.45,1315.19,0.183587466
27/12/00,242.76,1328.92,0.182673073
28/12/00,240.51,1334.22,0.180260527
29/12/00,246.92,1320.28,0.187023737
02/01/01,239.30,1283.27,0.186477203
03/01/01,240.58,1347.56,0.178526819
04/01/01,245.32,1333.34,0.18398863
05/01/01,246.21,1298.35,0.189636385
08/01/01,244.67,1295.86,0.188805272
09/01/01,244.81,1300.80,0.188197417
10/01/01,246.40,1313.27,0.18762684
11/01/01,243.28,1326.82,0.183352829
12/01/01,242.19,1318.32,0.183710708
16/01/01,239.47,1326.65,0.18050571
17/01/01,230.68,1329.47,0.173510121
18/01/01,235.17,1347.97,0.174462265
19/01/01,241.57,1342.54,0.179934974
22/01/01,240.56,1342.90,0.179131432
23/01/01,237.16,1360.40,0.17433005
24/01/01,235.12,1364.30,0.172336729
25/01/01,236.72,1357.51,0.174377942
26/01/01,238.10,1354.95,0.175725377
29/01/01,230.96,1364.17,0.169305805
30/01/01,230.73,1373.73,0.167955712
31/01/01,226.97,1366.01,0.166158081
01/02/01,235.24,1373.47,0.171276184
02/02/01,242.95,1349.47,0.180030234
05/02/01,234.84,1354.31,0.173405572
06/02/01,234.96,1352.26,0.173754529
07/02/01,240.69,1340.89,0.179497722
08/02/01,241.12,1332.53,0.180950448
09/02/01,238.69,1314.76,0.181549789
12/02/01,234.45,1330.31,0.176239673
13/02/01,235.21,1318.80,0.178350167
14/02/01,231.11,1315.92,0.175625494
15/02/01,227.95,1326.61,0.171831209
16/02/01,228.93,1301.53,0.175896214
20/02/01,226.68,1278.94,0.177239042
21/02/01,224.77,1255.27,0.179061158
22/02/01,225.15,1252.82,0.179716799
23/02/01,226.08,1245.86,0.181464932
26/02/01,223.76,1267.65,0.1765156
27/02/01,224.00,1257.94,0.178068747
28/02/01,221.99,1239.94,0.179030114
01/03/01,222.81,1241.23,0.17950396
02/03/01,224.25,1234.18,0.181701373
05/03/01,227.98,1241.41,0.183647385
06/03/01,227.13,1253.80,0.181150582
07/03/01,229.39,1261.89,0.181785576
08/03/01,226.66,1264.74,0.17921644
09/03/01,223.93,1233.42,0.181555999
12/03/01,224.23,1180.16,0.18999678
13/03/01,221.80,1197.66,0.185198387
14/03/01,216.25,1166.71,0.185349744
15/03/01,215.70,1173.56,0.183803129
16/03/01,216.09,1150.53,0.187819092
19/03/01,214.15,1170.81,0.182907645
20/03/01,214.64,1142.62,0.187849504
21/03/01,215.79,1122.14,0.192305327
22/03/01,215.03,1117.58,0.192406271
23/03/01,218.94,1139.83,0.192080398
26/03/01,220.06,1152.69,0.190907096
27/03/01,223.51,1182.17,0.189065617
28/03/01,216.91,1153.29,0.188079581
29/03/01,215.22,1147.95,0.187478984
30/03/01,212.74,1160.33,0.183342756
02/04/01,210.81,1145.87,0.183974709
03/04/01,213.86,1106.46,0.193282631
04/04/01,219.05,1103.25,0.198546023
05/04/01,221.15,1151.44,0.192064719
06/04/01,219.72,1128.43,0.194712565
09/04/01,221.74,1137.59,0.19492427
10/04/01,227.58,1168.38,0.194782434
11/04/01,226.33,1165.89,0.194124746
12/04/01,227.28,1183.50,0.192040389
16/04/01,230.52,1179.68,0.195411891
17/04/01,228.20,1191.81,0.191470453
18/04/01,226.69,1238.16,0.183089261
19/04/01,225.05,1253.70,0.179506581
20/04/01,223.06,1242.98,0.17945695
23/04/01,222.67,1224.36,0.181862524
24/04/01,219.96,1209.47,0.18186098
25/04/01,221.02,1228.75,0.179876623
26/04/01,225.10,1234.52,0.182334673
27/04/01,224.10,1253.05,0.178842824
30/04/01,224.23,1249.46,0.179461928
01/05/01,225.94,1266.44,0.178407505
02/05/01,221.13,1267.43,0.17446928
03/05/01,224.35,1248.58,0.179682199
04/05/01,224.15,1266.61,0.17696718
07/05/01,220.96,1263.51,0.174879977
08/05/01,219.76,1261.20,0.174246432
09/05/01,221.58,1255.54,0.17648008
10/05/01,223.19,1255.18,0.177811708
11/05/01,221.95,1245.67,0.178174637
14/05/01,222.30,1248.92,0.177995468
15/05/01,224.58,1249.44,0.179742044
16/05/01,222.43,1284.99,0.173098546
17/05/01,223.03,1288.49,0.173090827
18/05/01,227.60,1291.96,0.176162575
21/05/01,226.65,1312.83,0.172643678
22/05/01,225.23,1309.38,0.172012937
23/05/01,224.26,1289.05,0.173969435
24/05/01,220.08,1293.17,0.170189998
25/05/01,218.39,1277.89,0.170898982
29/05/01,218.24,1267.93,0.172119281
30/05/01,218.38,1248.08,0.174970354
31/05/01,217.62,1255.82,0.173292032
01/06/01,216.84,1260.67,0.17200449
04/06/01,217.31,1267.11,0.171503579
05/06/01,217.15,1283.57,0.16917784
06/06/01,214.68,1270.03,0.169032857
07/06/01,214.60,1276.96,0.168053345
08/06/01,217.85,1264.96,0.172220624
11/06/01,221.30,1254.39,0.176419295
12/06/01,223.15,1255.85,0.177691763
13/06/01,221.44,1241.60,0.178348099
14/06/01,221.39,1219.87,0.181484338
15/06/01,218.76,1214.36,0.180145673
18/06/01,214.86,1208.43,0.177803762
19/06/01,215.04,1212.58,0.177344753
20/06/01,208.20,1223.14,0.170218618
21/06/01,208.19,1237.04,0.168299489
22/06/01,208.60,1225.35,0.170234545
25/06/01,208.49,1218.60,0.171088872
26/06/01,207.74,1216.76,0.170730793
27/06/01,201.26,1211.07,0.166186265
28/06/01,200.49,1226.20,0.163508237
29/06/01,202.66,1224.42,0.165518695
02/07/01,201.17,1236.71,0.162663276
03/07/01,201.93,1234.45,0.163579651
05/07/01,204.07,1219.24,0.16737566
06/07/01,208.95,1190.59,0.17549719
09/07/01,206.57,1198.78,0.172316522
10/07/01,206.37,1181.52,0.174663908
11/07/01,205.79,1180.18,0.174369588
12/07/01,206.68,1208.14,0.171070406
13/07/01,203.70,1215.68,0.167562352
16/07/01,201.31,1202.45,0.167415527
17/07/01,201.89,1214.44,0.166240819
18/07/01,198.28,1207.71,0.164178983
19/07/01,196.45,1215.02,0.161681125
20/07/01,199.30,1210.85,0.164597679
23/07/01,199.90,1191.03,0.167834899
24/07/01,200.41,1171.65,0.171046985
25/07/01,204.29,1190.49,0.171598753
26/07/01,203.61,1202.93,0.169265045
27/07/01,204.31,1205.82,0.169432668
30/07/01,203.19,1204.52,0.168687776
31/07/01,201.72,1211.23,0.16654145
01/08/01,201.52,1215.93,0.165729359
02/08/01,205.74,1220.75,0.168537784
03/08/01,203.75,1214.35,0.167782023
06/08/01,204.34,1200.48,0.170213998
07/08/01,205.32,1204.40,0.170474012
08/08/01,204.26,1183.53,0.17258236
09/08/01,204.36,1183.43,0.172680936
10/08/01,206.42,1190.16,0.173438865
13/08/01,206.23,1191.29,0.173112844
14/08/01,206.92,1186.73,0.174364599
15/08/01,206.98,1178.02,0.175704402
16/08/01,205.39,1181.66,0.173816495
17/08/01,201.29,1161.97,0.173228483
20/08/01,201.72,1171.41,0.172205206
21/08/01,203.64,1157.26,0.175969791
22/08/01,201.35,1165.31,0.172789644
23/08/01,202.53,1162.09,0.174284436
24/08/01,203.52,1184.93,0.171753521
27/08/01,202.22,1179.21,0.1714882
28/08/01,203.20,1161.51,0.174942962
29/08/01,203.13,1148.60,0.176848337
30/08/01,200.29,1129.03,0.177403523
31/08/01,203.00,1133.59,0.179079561
04/09/01,201.42,1132.94,0.177782142
05/09/01,202.17,1131.74,0.178636082
06/09/01,203.96,1106.40,0.18434662
07/09/01,206.55,1085.78,0.190233196
10/09/01,205.01,1092.54,0.187648599
17/09/01,210.36,1038.77,0.202506618
18/09/01,204.27,1032.74,0.197797897
19/09/01,197.97,1016.10,0.19483663
20/09/01,197.02,984.54,0.200112032
21/09/01,193.94,965.80,0.200812487
24/09/01,176.91,1003.45,0.176304948
25/09/01,176.45,1012.27,0.174311992
26/09/01,179.00,1007.04,0.177751827
27/09/01,179.92,1018.61,0.176635906
28/09/01,181.72,1040.94,0.174571253
01/10/01,180.50,1038.55,0.173803091
02/10/01,178.43,1051.33,0.169718547
03/10/01,176.46,1072.28,0.164562801
04/10/01,179.39,1069.63,0.167713976
05/10/01,177.90,1071.38,0.166046501
08/10/01,178.44,1062.44,0.167954237
09/10/01,179.44,1056.75,0.169803833
10/10/01,180.62,1080.99,0.167087485
11/10/01,184.12,1097.43,0.167772888
12/10/01,179.16,1091.65,0.1641222
15/10/01,176.95,1089.98,0.162339125
16/10/01,177.54,1097.55,0.161756002
17/10/01,176.02,1077.09,0.163417356
18/10/01,174.01,1068.61,0.162837424
19/10/01,177.82,1073.48,0.165650501
22/10/01,177.59,1089.90,0.162945041
23/10/01,175.83,1084.78,0.162084386
24/10/01,178.77,1085.20,0.164733229
25/10/01,177.46,1100.09,0.161316347
26/10/01,177.79,1104.61,0.160956899
29/10/01,179.04,1078.30,0.166042845
30/10/01,177.35,1059.79,0.16734287
31/10/01,175.38,1059.78,0.165487648
01/11/01,172.05,1084.10,0.158704271
02/11/01,170.66,1087.20,0.156971762
05/11/01,168.22,1102.84,0.152532915
06/11/01,167.16,1118.86,0.149402874
07/11/01,168.80,1115.80,0.151281771
08/11/01,174.53,1118.54,0.156036172
09/11/01,179.54,1120.31,0.160258946
12/11/01,175.07,1118.33,0.156547531
13/11/01,178.84,1139.09,0.156999096
14/11/01,171.00,1141.21,0.149843938
15/11/01,161.96,1142.24,0.141793493
16/11/01,165.01,1138.65,0.14491749
19/11/01,165.99,1151.06,0.144203777
20/11/01,169.17,1142.66,0.148045
21/11/01,168.31,1137.03,0.14802248
23/11/01,169.12,1150.34,0.147017143
26/11/01,166.49,1157.42,0.143841561
27/11/01,169.89,1149.50,0.147792084
28/11/01,167.32,1128.52,0.148262769
29/11/01,165.01,1140.20,0.144720225
30/11/01,169.58,1139.45,0.1488218
03/12/01,171.19,1129.90,0.151511284
04/12/01,168.56,1144.80,0.147240304
05/12/01,167.50,1170.35,0.143116931
06/12/01,163.52,1167.10,0.140107617
07/12/01,165.48,1158.31,0.142864173
10/12/01,163.63,1139.93,0.143541796
11/12/01,163.40,1136.76,0.143745206
12/12/01,163.99,1137.07,0.144223047
13/12/01,163.69,1119.38,0.146235416
14/12/01,168.81,1123.09,0.150304339
17/12/01,168.15,1134.36,0.148231426
18/12/01,168.39,1142.92,0.147330872
19/12/01,169.12,1149.56,0.147114113
20/12/01,167.00,1139.93,0.146502329
21/12/01,169.39,1144.89,0.147954563
24/12/01,169.66,1144.65,0.148217883
26/12/01,174.76,1149.37,0.152051559
27/12/01,173.30,1157.13,0.149770812
28/12/01,172.45,1161.02,0.148534392
31/12/01,169.16,1148.08,0.14733921
02/01/02,173.21,1154.67,0.150008487
03/01/02,170.32,1165.27,0.146167498
04/01/02,175.51,1172.51,0.149684438
07/01/02,175.44,1164.89,0.150607439
08/01/02,174.92,1160.71,0.15069983
09/01/02,171.18,1155.14,0.148190609
10/01/02,172.24,1156.55,0.148928192
11/01/02,170.94,1145.60,0.149212378
14/01/02,167.73,1138.41,0.147338042
15/01/02,168.22,1146.19,0.146764324
16/01/02,169.42,1127.57,0.150254707
17/01/02,165.08,1138.88,0.144952848
18/01/02,164.54,1127.58,0.145923216
22/01/02,164.41,1119.31,0.146881293
23/01/02,166.47,1128.18,0.147555443
24/01/02,167.38,1132.15,0.147843572
25/01/02,168.39,1133.28,0.14858861
28/01/02,167.52,1133.06,0.147849981
29/01/02,165.86,1100.64,0.150690326
30/01/02,163.62,1113.57,0.146934634
31/01/02,166.03,1130.20,0.146899398
01/02/02,170.24,1122.20,0.151701657
04/02/02,168.70,1094.44,0.154142575
05/02/02,168.40,1090.02,0.154490468
06/02/02,166.99,1083.51,0.154123081
07/02/02,167.26,1080.17,0.154842849
08/02/02,170.84,1096.22,0.15584536
11/02/02,176.12,1111.94,0.158390111
12/02/02,174.79,1107.50,0.157820226
13/02/02,176.71,1118.51,0.157983925
14/02/02,175.94,1116.48,0.157588761
15/02/02,176.10,1104.18,0.159487402
19/02/02,174.25,1083.34,0.160846918
20/02/02,171.69,1097.98,0.156364415
21/02/02,173.98,1080.95,0.160955178
22/02/02,174.13,1089.84,0.159777399
25/02/02,170.53,1109.43,0.153708211
26/02/02,174.16,1109.38,0.156987867
27/02/02,174.97,1109.89,0.157641838
28/02/02,176.53,1106.73,0.159506926
